nouns,noun_tag,verbs,verb_tag,adjectives,adjective_tag,adverbs,adverb_tag,pronouns,pronoun_tag,prepositions,preposition_tag,determiners,determiner_tag,conjunctions,conjunction_tag,numerals,numeral_tag,modals,modal_tag,interjections,interjection_tag,tos,to_tag,wh_determiners,wh_determiner_tag,wh_pronouns,wh_pronoun_tag
Seen,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Ay,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Leavin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Bump,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Stray,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hereditary,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Shootin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Darkest,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Read,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Empire,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Monsters,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Flesh,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Run,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Lay,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Matter,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Changin,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastor,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodies,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Mic,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Billboard,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadillac,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Curves,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenge,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigga,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendrick,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Crumbs,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
State,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Newborn,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Dye,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferragami,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Slideshow,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahh,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Pistol,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Pardon,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Sittin,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Ooh,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardio,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
K,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Basketball,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Starin,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Katzkins,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Tire,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Listen,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Album,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Want,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
